,index,id,phi,theta,psi,d_phi,d_theta,d_psi,dd_phi,dd_theta,dd_psi,position_x,position_y,position_z,u,v,w,Va,Tm_up,Tm_down,Tr_r,Tr_l,Tf_up,Tf_down,alpha,alpha_deg,d_alpha,delta_e,delta_a,tilt,RHO,F_x,T_x,F_z,T_z,L,D,Mt,Mg,Ma,CL_log,CD_log,Cm_log,CL_0,CL_alpha,CL_q,CL_delta_e,CL_k,k_L,CD_0,CD_alpha,CD_q,CD_delta_e,CD_k,k_D,Cm_0,Cm_alpha,Cm_q,Cm_delta_e,Cm_k,k_m,CL,CD,Cm,L_calc,D_calc,Ma_calc,CL_RMSE,CD_RMSE,Cm_RMSE
209,39,500,0.003624371,-0.155915558,-1.11278224,-0.380874783,-0.02230487036898806,-0.027032813,1.5438168150804013,-1.3422190586330753,0.4094299294553095,-0.780527115,3.2217559810000003,-2.602105856,5.100870075649339,-0.3896154929141855,-0.6897185393652675,5.163259200970235,20.539987290405872,21.73580932989329,2.932041224032053,8.467310360667843,3.532813063956356,3.532813063956356,-0.1310613994781617,-7.70059397804455,-0.34503065775622555,-0.17453292781742696,0.0,0.0,1.266,-10.459169847864866,0.0,-62.874740931763526,-60.74077433291177,7.43195641755265,9.884827458546374,1.635430055724059,-2.4159747625268104,1.2153466663180932,0.8192044992637181,1.0895778545420092,0.31095931656308806,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.11066722117579275,1.3059742481683916,-0.11605323666356199,-1.0039910246701182,11.848010726939428,-0.4535799597625797,0.46014934691849607,0.23346725920376102,0.5591338583699718
210,40,500,-0.002256471,-0.155754775,-1.1130629779999999,-0.35929840799999996,-0.04685180970907555,-0.014269305,0.2825043743114383,-0.33555118484434526,0.5181880413885229,-0.7801067829999999,3.211315155,-2.610737085,5.097906032893698,-0.3980480519998771,-0.6859008940755645,5.161077844602848,20.35880213290778,21.953231518891,1.3110079721545989,4.565545030105727,6.949320551325861,6.949320551325861,-0.13844160242601103,-7.662877779760509,-0.3196671279403529,-0.17453292781742696,0.0,0.0,1.266,-11.498056214278822,0.0,-64.4334464510052,-62.087227756710824,3.9480450157280127,10.907231164237908,6.360923842797165,-2.416351634960367,-2.9169612989459943,0.4355502893832458,1.2032911658880279,-0.7469664608989224,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.11967825010484656,1.31550648399241,-0.11634981542990647,-1.0848233380502612,11.924406765148854,-0.45435494967219386,0.46014934691849607,0.23346725920376102,0.5591338583699718
211,41,500,-0.012249026000000001,-0.155870512,-1.113134146,-0.367796808,-0.04954287479101196,-0.003044334,0.2730313726335715,-0.1551417698046464,0.5239429686489204,-0.780756474,3.1946239469999997,-2.63436532,5.078578658600941,-0.41264336366127524,-0.7609728476305305,5.153101604773013,20.35880213290778,21.953231518891,1.3110079721545989,4.565545030105727,6.949320551325861,6.949320551325861,-0.14584666549421083,-8.521784589479314,-0.23474729937323513,-0.17453292781742696,0.0,0.0,1.266,-12.350721315510834,0.0,-65.90455285565774,-62.087227756710824,0.5815308471472613,11.97868540881415,6.360923842797165,-2.4158920126073133,-6.149007893139256,0.06435353015570199,1.3255886535741772,-1.5794973208758392,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.12532367149634682,1.3241761897742776,-0.11654032751795868,-1.1324876922298601,11.965921675913513,-0.45369332654492855,0.46014934691849607,0.23346725920376102,0.5591338583699718
212,42,500,-0.019956892,-0.155522272,-1.112978101,-0.346635759,-0.02616747438521216,0.010030121999999999,0.6913725790592972,2.3409170420506475,0.4493164658267256,-0.782202959,3.1824111939999997,-2.635093451,5.06879394543708,-0.4263886493450436,-0.7692861533687274,5.141973039952595,20.10514291241044,22.206890739388328,1.028445290375629,2.3395273139642594,9.0,9.0,-0.15091850368272314,-8.629869728354963,-0.11797635959065346,-0.174532927817427,0.0,0.0,1.266,-12.034999028840902,0.0,-58.645404385580385,-63.68000625613866,-0.6283660665728806,12.56326256209749,9.044085205175422,-2.416348581259315,-4.643300411313643,-0.0698377378372566,1.396303657798844,-1.1978941562716667,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.12543624051312519,1.3288313431477419,-0.11645644041100789,-1.1286144067351784,11.956179425202654,-0.4514106983738572,0.46014934691849607,0.23346725920376102,0.5591338583699718
213,43,500,-0.028140562,-0.153883517,-1.112719655,-0.337561011,0.020312055754189696,0.016605623,0.678507401539201,1.6519566093255904,-0.03820565866908342,-0.782672644,3.168319702,-2.639618158,5.054730815111606,-0.44354743997007495,-0.7748376875483463,5.131277081269298,19.706535565914635,22.569261054384512,2.2588091596865647,9.0,3.7776347302907785,3.7776347302907785,-0.15212983343217032,-8.715009024897409,-0.0169749777267606,-0.174532927817427,0.0,0.0,1.266,-12.333190136109552,0.0,-57.411345719351864,-61.08987524056727,0.23871426226304918,12.521379890870703,1.9255612294524305,-2.419541336593696,0.4559891485170546,0.026641855231631168,1.3974564703018673,0.1181285379464988,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.11955066420690907,1.3275533538454642,-0.1159781020673859,-1.0711884874791628,11.895039467889708,-0.44768822951388076,0.46014934691849607,0.23346725920376102,0.5591338583699718
214,44,500,-0.034824918999999996,-0.151781112,-1.112470865,-0.316659302,0.06883627118499212,0.008342196,1.7474097914972737,1.6894791069059278,-0.08354820824592572,-0.784989357,3.157426834,-2.651477098,5.043026898921752,-0.4546202957931202,-0.7648441309139284,5.1215553555326565,19.59782447141578,22.677972148883367,2.4701742372465763,9.0,1.0528154503425367,1.0528154503425367,-0.15058448904680616,-8.623968332625953,0.03399568530269758,-0.174532927817427,0.0,0.0,1.266,-12.094071790742436,0.0,-55.60413743286554,-55.8516017582308,1.077197283935357,12.17341532698355,-1.0465036805082801,-2.4237414194123468,3.9355468732313867,0.12067812045368083,1.3637844274870679,1.0234169403390572,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.11108530138843908,1.32343339811126,-0.1155808722664961,-0.9915698429086474,11.813233886601411,-0.44446590878500186,0.46014934691849607,0.23346725920376102,0.5591338583699718
215,45,500,-0.04292503,-0.148250714,-1.112410903,-0.25593251,0.09108746603642681,0.012702752,1.6051573082238144,0.38891711299237464,0.20984081288872272,-0.788926125,3.14166832,-2.661049604,5.029705371637015,-0.48045165335507806,-0.7468131724309245,5.111012233632492,19.887720723412727,22.424312928386037,5.0283858053190365,9.0,1.4371785526364997,1.4371785526364997,-0.14900063031589636,-8.44560156269068,0.03371425431631307,-0.174532927817427,0.0,0.0,1.266,-11.877088858431506,0.0,-59.05631826539402,-59.214776562390796,0.051642790493612076,11.947464611700852,-1.118989180373743,-2.4308737069353397,1.904879242460131,0.005809421532709779,1.343998988301927,0.497398948301618,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.10533889033431387,1.3223588355874318,-0.11604246852302214,-0.9364089374019119,11.755094705920722,-0.44440562306797904,0.46014934691849607,0.23346725920376102,0.5591338583699718
216,46,500,-0.046969305999999995,-0.145864561,-1.112383127,-0.242334098,0.07780882542920467,0.018058665,0.47024484831795743,-1.7503208040754463,-0.23556684565606434,-0.7909395690000001,3.133247375,-2.67849946,5.018643198376387,-0.49637900529978685,-0.7625705657735311,5.099204038411952,19.489113376916926,22.822920274881852,1.0256377653413684,2.888396326744582,9.0,9.0,-0.14905641843586956,-8.639865563248883,0.004760031600270368,-0.174532927817427,0.0,0.0,1.266,-11.968401130669688,0.0,-61.37880923731895,-64.22606774388473,-2.3539920047601623,11.996646411577869,8.940333522503671,-2.435760874254538,-3.9976981586511635,-0.2660340544077014,1.3557890076575818,-1.0487125718235712,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.10479891264646468,1.3269156302960605,-0.11754313037528524,-0.92730911095792,11.741161452666242,-0.4480750669807215,0.46014934691849607,0.23346725920376102,0.5591338583699718
217,47,500,-0.053743105,-0.143283248,-1.112310052,-0.23544018,0.049776186540589816,0.00243722,1.2156004518753447,-0.05431482150926628,0.062244328965208706,-0.797055721,3.1177692410000004,-2.703265905,5.004598918874427,-0.5131361768471517,-0.7653603110994369,5.08816797263564,19.489113376916926,22.822920274881852,1.0256377653413684,2.888396326744582,9.0,9.0,-0.15023054226510574,-8.694955439605003,-0.030299700539067227,-0.174532927817427,0.0,0.0,1.266,-11.005949236473466,0.0,-56.04834614993013,-64.22606774388473,-3.810097341573911,12.14788119155161,8.940333522503671,-2.440640181126066,-8.091218524408212,-0.4324642592607531,1.378842578053879,-2.1317796147747847,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.10705337210761567,1.3338719597153865,-0.11932283965065055,-0.9431617983205792,11.751680974513294,-0.4528925803938382,0.46014934691849607,0.23346725920376102,0.5591338583699718
218,48,500,-0.057266958,-0.141483232,-1.1121578220000001,-0.18853162199999998,0.03680131560070383,0.020813599,2.4212964283326928,-0.32892321917960704,0.2617737349880786,-0.8010883329999999,3.1074142460000003,-2.70556283,4.998830062460264,-0.5361311823603597,-0.7438749768863695,5.079466513293368,19.887720723412727,22.38807589688642,1.040181587688356,4.006351018435034,8.402406321641607,8.402406321641607,-0.15126754539755147,-8.464061987340097,-0.06298330840807272,-0.17453292781742696,0.0,0.0,1.266,-11.663726717802433,0.0,-59.497923029003346,-64.12714186970575,-2.6500890700841673,12.159100168381647,8.082148006922925,-2.444147281169061,-6.374567712227539,-0.301829231358307,1.384848494060139,-1.6852556423698144,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.10791270703012956,1.3384641592081927,-0.12044945894623715,-0.9474837282551045,11.751841341060366,-0.45560638555362276,0.46014934691849607,0.23346725920376102,0.5591338583699718
219,49,500,-0.061994812999999996,-0.139571071,-1.11171782,-0.126769975,0.04621994956569923,0.014185887,2.943987118934985,0.43128525909016363,-0.1422184809382752,-0.8100411890000001,3.089727402,-2.728043795,4.978162259768899,-0.5579197505785655,-0.7762866200048583,5.071569552060854,19.706535565914635,22.677972148883367,1.8140494311850617,5.205216738112438,5.758640990356206,5.758640990356206,-0.1521513698712758,-8.86323001929211,-0.09548206589738767,-0.17453292781742696,0.0,0.0,1.266,-11.739262892497612,0.0,-60.04430514656883,-60.92105586480791,0.32573816434528347,11.97083534755153,4.862637133456753,-2.447662867229586,-0.6041170174018202,0.03721524675549025,1.3676554978563895,-0.16020923705125764,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.1062627193136908,1.3402543229063353,-0.12084575062264757,-0.9300979073173353,11.73099793661678,-0.4556851763077846,0.46014934691849607,0.23346725920376102,0.5591338583699718
220,50,500,-0.063595496,-0.137747318,-1.111511588,-0.058257248,0.056719287831041486,0.014520288999999999,4.60960175624385,-0.024420130615126226,-0.30656727120288924,-0.815113544,3.079994202,-2.7386758330000003,4.971218496863628,-0.5725172261581745,-0.7591253620006433,5.061549274865977,19.960194786411964,22.85915730638147,6.929991651446647,9.0,1.0264448877496184,1.0264448877496184,-0.15412862764608987,-8.682228443936008,-0.13139183438004873,-0.17453292781742696,0.0,0.0,1.266,-12.116381031286688,0.0,-62.580816530519456,-60.80223351973932,2.6907129410881128,11.719112875576046,-1.9222437145562734,-2.4514639486292036,3.4380914404259997,0.30862951700987945,1.3442029030085425,0.9153806741204829,-0.7962295309286065,0.9042940091686864,2.6415258555490273,0.3964307042093493,4.521613675761445,1.5387087511525603,-0.11564763106255363,-0.8554218636455017,-2.598897981606119,0.040701245543244446,6.785526539856418,2.3091201099343706,0.4833060908946559,-0.0850476381467724,0.7050305076562483,0.760376227136164,-2.4635925748509537,-0.36117495900572855,-0.10509517415337155,1.3434230967453105,-0.12132148931494702,-0.9162472464723254,11.712314320388103,-0.4556731267614165,0.46014934691849607,0.23346725920376102,0.5591338583699718
