,CL,CL_log,CD,CD_log,Cm,Cm_log,Va,alpha,alpha_deg
1243,-0.7647325918046879,-0.47964773983688763,1.337075998275971,1.296084790457559,-0.003447977661390711,-0.16381198959900836,6.221762735008554,-0.4075442533559967,-23.49881151205699
1248,-1.159322764618076,-1.1607051306870366,1.4884792204039048,1.468263312938619,-0.06705174237931955,-0.02304110479413356,6.334478749663415,-0.40930732988680135,-23.461361964926926
552,-2.350894401126845,-2.231274056554499,3.3430988279916,3.423223317461804,-1.3032496061758656,-1.9507597678276896,3.1926974812174826,-0.4102770121152669,-23.45000999158537
1249,-1.180856611126555,-1.3070004739435628,1.4973655149555838,1.5220319210718776,-0.06810279445985001,0.04495542139594472,6.3499589517475385,-0.4109914751302542,-23.372190753362993
1602,-0.8195221756761949,-0.7818501101711621,1.4157748674416812,1.659185516760532,-0.07992158253659887,-0.06768028316167923,5.858503253245365,-0.4081052571067297,-23.303736736635464
1626,-0.964431232579849,-1.0450650944141018,1.4028721578793282,1.8449314941067454,-0.030017211263219323,-0.15126012199585886,6.292820934167876,-0.40695813370068895,-23.292511998754183
1627,-0.9285199611287985,-1.0172622217113523,1.387926259764484,1.7994139924971568,-0.022800761595520136,-0.12839612204287454,6.291906805990089,-0.40427982730373135,-23.163268816140782
1189,-1.3126694941659847,-1.0963044506121993,2.084868997772584,2.639583222498059,-0.6472770686492386,-0.8184222198854245,4.102426850501076,-0.4039767888301667,-23.156500322515388
1242,-0.6585333243639231,-0.40104048528745445,1.3115687205837352,1.2695881269227327,0.010110155333813875,-0.1852617360670203,6.170070362105009,-0.4024126346626674,-23.143887455050734
553,-2.4845553605720596,-2.0516289206283784,3.4762129760837843,3.572085223605177,-1.3184072620418887,-2.0423813541562685,3.2103895815959262,-0.39990908509444595,-23.103936707235626
533,-1.5861668488413794,-1.478638446483964,2.8582914263583805,3.658923340161987,-1.3708182934647226,-1.1178696808430277,2.9074867815553476,-0.4020308175009307,-23.09735925076501
1601,-0.7770263978177308,-0.7489131512087637,1.4017827460271661,1.7020180833503464,-0.07214063427871187,-0.08148703938655225,5.852396723823484,-0.4022978299094489,-23.090603510065584
1188,-1.152241788607878,-0.5731178753148273,2.017940126630549,2.3827981489211587,-0.6367230720574286,-0.7001218560733382,4.044520624008532,-0.40238965028376095,-23.053764979671154
1190,-1.5601049876140283,-1.5056268598318223,2.232046711716551,2.8035950978332207,-0.6867573977756645,-0.8158004111867065,4.13240448431649,-0.40249549826438413,-23.049997367437147
1628,-0.92144562954659,-0.977577063024559,1.3832758251708739,1.691160722707038,-0.01961277705072706,-0.13082680175995326,6.303520914534668,-0.40117885543346926,-22.947690061126867
1673,-0.8948509564680909,-0.9520288043441523,1.3145335266993956,1.3447120772673047,0.0444790135401254,0.03978577553729158,6.715340977927694,-0.3993530216868104,-22.902477953195106
1241,-0.653264887818336,-0.3290923744555398,1.3164115154508922,1.2689635453426027,0.004396816258422698,-0.2568762623781633,6.129636987879987,-0.39944761548602,-22.898564272831447
1187,-0.8288875013160389,-0.09095744650532887,1.9007392179436173,2.2240331871052175,-0.5963263781109474,-0.6621560251168014,3.977248755893542,-0.3980597982689272,-22.88576893193438
1674,-0.916918530302961,-0.9400375299778051,1.3215552604511287,1.3287321301184214,0.0421633993982502,0.020525134478128922,6.72935562716355,-0.3984921867287218,-22.854239829339054
1678,-0.9464275019580579,-0.9564198590544483,1.3327640243268433,1.3539782122995414,0.037229462628080245,0.016478750536307735,6.736894978912403,-0.39751905853244845,-22.85294289675222
1250,-1.2428681543246154,-1.4225269580381854,1.5343787214648488,1.6026038289517615,-0.08423150574069571,0.07001597392500897,6.325286791862174,-0.4056012187411512,-22.846572864227067
1675,-0.8835320092126985,-0.8855991394905681,1.3072075125071572,1.3111309080440237,0.05051998478292985,0.007927591475078816,6.737031883945274,-0.39817532636307407,-22.838544294012966
1672,-0.8668114052733326,-0.9016602115199548,1.304601539087114,1.3310013572796922,0.04899249960252017,0.03734042407856586,6.707573684974601,-0.39928699692302416,-22.81921832704294
1676,-0.8814752274636131,-0.8516054595437542,1.3067469656851565,1.3168064006895224,0.05075031083477821,0.017321909243873366,6.734407761805768,-0.39868530531596336,-22.81916465352487
1629,-0.8887406545202203,-0.939452446353881,1.3664695848310953,1.6031854747380958,-0.009122533646243047,-0.1588867536718324,6.328065989512746,-0.3979299187898868,-22.8157564468509
1677,-0.8478798944380002,-0.8817175732450686,1.2942761256452973,1.3401750836773725,0.05726948367999318,0.03040171204795811,6.731211813621839,-0.3988131379636871,-22.79274141772895
1671,-0.8429463531489775,-0.8275852024915165,1.2952504624649448,1.2907049175706136,0.0541398342349555,0.006837227467914183,6.70981683744184,-0.3974922427274193,-22.77171887779979
1600,-0.7765907912917992,-0.7382597732481375,1.4030446474408615,1.745718127770761,-0.07350403617511092,-0.11478020900055612,5.844298895757548,-0.3966824481827425,-22.72439161817003
1191,-1.5012012343777832,-1.7389703172536504,2.1854555716038613,2.7564738685203225,-0.6665312445844567,-0.6273701313394856,4.15132971098957,-0.39810270567737654,-22.715571100210287
1630,-0.8370366901590214,-0.9025526363459287,1.3434016453037472,1.5755595586148858,0.004841323304620726,-0.19559174349967423,6.350090385403098,-0.39552247228991194,-22.665343843481907
1631,-0.8435858139822214,-0.851037183475355,1.3443534900062406,1.569972555578434,0.004782862730448922,-0.2234137933690922,6.360182853812272,-0.3944327563080595,-22.659552475252287
1670,-0.8129320350689544,-0.7770907126270242,1.284008430421137,1.253802949587798,0.0605304711058674,-0.030357084406742132,6.711433852482356,-0.39477617638844426,-22.630783616289968
